iter	MultiClass
0	0.9876779802
1	0.8973630555
2	0.8203917332
3	0.7541716205
4	0.7014102789
5	0.6534078378
6	0.6160177721
7	0.5773227898
8	0.5424377619
9	0.5087959775
10	0.4787539452
11	0.4513521275
12	0.4264152346
13	0.4057816878
14	0.3853491002
15	0.3686273556
16	0.3539931752
17	0.3394556738
18	0.3254975886
19	0.314418791
20	0.3001357344
21	0.2887958851
22	0.2774832588
23	0.2663150736
24	0.2565615805
25	0.2465223168
26	0.2384051781
27	0.2309856514
28	0.2245978723
29	0.2173734829
30	0.2105028951
31	0.2043220444
32	0.1989520722
33	0.1926331353
34	0.187511209
35	0.1824295812
36	0.1784377376
37	0.1738634775
38	0.169263112
39	0.1661779882
40	0.1615842433
41	0.1586558023
42	0.156213612
43	0.1534040898
44	0.1499138318
45	0.1469316235
46	0.144096651
47	0.1409510808
48	0.1387304159
49	0.1361516602
50	0.1339761391
51	0.1322288819
52	0.1307254994
53	0.1289885895
54	0.126722909
55	0.1255955387
56	0.1238860768
57	0.1224991206
58	0.1206918985
59	0.1195727453
60	0.1184345405
61	0.1176218556
62	0.1155205458
63	0.1144042556
64	0.1128125004
65	0.1115617507
66	0.1104362443
67	0.1088327035
68	0.1076482979
69	0.1061766984
70	0.1055974573
71	0.1042649663
72	0.1035033265
73	0.1024879316
74	0.1020505802
75	0.1010031443
76	0.1004903034
77	0.09970185651
78	0.09811990938
79	0.09698800034
80	0.09613693453
81	0.09489478755
82	0.09394754167
83	0.09316662421
84	0.0921946461
85	0.09142782265
86	0.09061349914
87	0.08961875404
88	0.08850941644
89	0.08793122692
90	0.08718414609
91	0.08659491902
92	0.0860892295
93	0.0854132877
94	0.08476455781
95	0.08417664928
96	0.08296357413
97	0.08223994965
98	0.08175027226
99	0.08134467958
100	0.08056954685
101	0.07976615188
102	0.07899234051
103	0.0785323531
104	0.07807545289
105	0.07794084268
106	0.07743127165
107	0.07736118648
108	0.07665365901
109	0.07621627015
110	0.07575091288
111	0.07511195705
112	0.0744286884
113	0.07428442239
114	0.07363147092
115	0.0732640573
116	0.07271372689
117	0.07219621357
118	0.07214813419
119	0.07171227349
120	0.0712463582
121	0.07075392627
122	0.07039623059
123	0.07007300991
124	0.069559933
125	0.06891259272
126	0.0685585261
127	0.0680262881
128	0.06778947935
129	0.06744409556
130	0.06710044814
131	0.06672358313
132	0.06609066487
133	0.065579084
134	0.06506728903
135	0.06469881363
136	0.06414387419
137	0.06389286833
138	0.06346932686
139	0.06302722917
140	0.06283220818
141	0.06242802446
142	0.06176103723
143	0.06158833358
144	0.06108376507
145	0.06094392649
146	0.06054708511
147	0.06035027872
148	0.0598519362
149	0.05959180092
150	0.05931974959
151	0.05888627419
152	0.05860074986
153	0.05831140909
154	0.05808725418
155	0.05774524083
156	0.05733220025
157	0.05725960085
158	0.05684558286
159	0.05653728139
160	0.05631080931
161	0.05603379724
162	0.05562137689
163	0.05528204186
164	0.05497822331
165	0.05484629315
166	0.05463642622
167	0.05431548002
168	0.05409641225
169	0.05377242503
170	0.0532520109
171	0.05301998675
172	0.0525952963
173	0.05247773
174	0.05195902325
175	0.05169385115
176	0.05152398508
177	0.0513896034
178	0.05094727787
179	0.05076816258
180	0.05053790211
181	0.05023357589
182	0.04990400115
183	0.04961371897
184	0.0493819269
185	0.04923455339
186	0.04896589831
187	0.04878400819
188	0.04858819435
189	0.0483741226
190	0.04818164862
191	0.04799602712
192	0.04776773166
193	0.04750212981
194	0.04726338869
195	0.04700942083
196	0.04681688249
197	0.04654826993
198	0.04603502852
199	0.04594592626
200	0.04578159987
201	0.04553647388
202	0.04538102562
203	0.04493139689
204	0.04466937378
205	0.04449846422
206	0.0443313511
207	0.04414909784
208	0.04395030347
209	0.04371952915
210	0.04350274058
211	0.04320892521
212	0.04304118863
213	0.04285990398
214	0.04265013155
215	0.04252514503
216	0.04243519443
217	0.04221721011
218	0.04205243581
219	0.04181242942
220	0.04159041073
221	0.04145403389
222	0.04123685926
223	0.04094808401
224	0.04074114151
225	0.04039133701
226	0.04024505028
227	0.04008383388
228	0.03990446447
229	0.03966459621
230	0.03946473937
231	0.03924700661
232	0.03906850398
233	0.03897182638
234	0.0388738669
235	0.03867386614
236	0.03853826203
237	0.03830394195
238	0.0381633765
239	0.03796194837
240	0.03784976582
241	0.03767064267
242	0.03756329131
243	0.03738500735
244	0.0372282102
245	0.03705154557
246	0.03686642553
247	0.03670950468
248	0.03658038571
249	0.03644128102
250	0.03629980794
251	0.03618415555
252	0.0360003225
253	0.03585887951
254	0.03574403337
255	0.03566999122
256	0.03551795361
257	0.03535630098
258	0.03522634971
259	0.03512506723
260	0.03500489798
261	0.03487510077
262	0.03464376135
263	0.03452693835
264	0.03440299901
265	0.03433853559
266	0.03423643513
267	0.03406917679
268	0.03394035405
269	0.03381107081
270	0.03367608765
271	0.03358929382
272	0.0335506769
273	0.03340841428
274	0.0332337862
275	0.03314329764
276	0.03303937076
277	0.03290552654
278	0.03277417278
279	0.0326398677
280	0.03252473122
281	0.03233561887
282	0.0321915689
283	0.03208000139
284	0.03204797892
285	0.03195598905
286	0.031810885
287	0.03169017004
288	0.03158310119
289	0.03149610698
290	0.03145583852
291	0.03130058949
292	0.03113608985
293	0.03100646906
294	0.03087661381
295	0.03081645085
296	0.030703972
297	0.03059167933
298	0.03044492013
299	0.03036682122
300	0.03027667297
301	0.03016847359
302	0.03006418996
303	0.02993677493
304	0.02985295954
305	0.02977805616
306	0.02965306904
307	0.02955743599
308	0.02947477194
309	0.02935945199
310	0.02928616403
311	0.02919968116
312	0.02910686742
313	0.02895830241
314	0.02890986128
315	0.02874882576
316	0.02865825842
317	0.02853086648
318	0.02843909344
319	0.02830848627
320	0.02821471329
321	0.02806228338
322	0.02799117628
323	0.02790506318
324	0.02784476186
325	0.02777597407
326	0.02766878131
327	0.02758003993
328	0.0275440177
329	0.02745371091
330	0.02732676212
331	0.0272514147
332	0.02716430647
333	0.02709881472
334	0.02698225512
335	0.02688917604
336	0.02681732119
337	0.02670841723
338	0.02661377313
339	0.02654175484
340	0.02647285983
341	0.0263732497
342	0.02628065768
343	0.02626643103
344	0.0262000738
345	0.02611440137
346	0.02603183453
347	0.02592897698
348	0.02584373685
349	0.02577254576
350	0.0257044625
351	0.02565429136
352	0.02559703377
353	0.02550323667
354	0.0254068905
355	0.02533307459
356	0.02525845099
357	0.02516578333
358	0.02510398662
359	0.02504163505
360	0.02498102809
361	0.0248893945
362	0.0248269865
363	0.02474532143
364	0.0246300451
365	0.024615222
366	0.02450695727
367	0.02442007479
368	0.02434670915
369	0.02422089831
370	0.02414826082
371	0.02409798714
372	0.02399437371
373	0.02391344775
374	0.02383079635
375	0.02375825102
376	0.02369297018
377	0.0236388869
378	0.02354873961
379	0.02347508622
380	0.02341848847
381	0.0233692379
382	0.02327259977
383	0.02319747174
384	0.02314220622
385	0.02309540793
386	0.02300662138
387	0.02294571154
388	0.02282775367
389	0.0227665649
390	0.02269668772
391	0.02266366765
392	0.02258532495
393	0.02253432366
394	0.02244146409
395	0.02237936245
396	0.02229801961
397	0.02224713862
398	0.02215444445
399	0.0221043829
400	0.02208716332
401	0.02201423239
402	0.02194077341
403	0.02189536035
404	0.02183296657
405	0.02174209872
406	0.02170685021
407	0.02165151808
408	0.02157870835
409	0.02152286185
410	0.0214740598
411	0.02143314841
412	0.02134135877
413	0.02123566626
414	0.0211719311
415	0.02112152173
416	0.02107227164
417	0.02102521486
418	0.0209274479
419	0.02089139448
420	0.02085066854
421	0.02078225399
422	0.02075256773
423	0.02066881654
424	0.02061532985
425	0.02058888469
426	0.02052057359
427	0.02044135698
428	0.02039521211
429	0.02030806944
430	0.0202668722
431	0.02018317487
432	0.0200930432
433	0.02000464845
434	0.01996600122
435	0.01989442495
436	0.01985371143
437	0.01978436327
438	0.01975054655
439	0.01969900611
440	0.01966648595
441	0.01962174853
442	0.01958754536
443	0.01953740395
444	0.01946287976
445	0.01942593753
446	0.01938380613
447	0.01931304214
448	0.01926143819
449	0.01921316317
450	0.01916155024
451	0.01911219833
452	0.01906937484
453	0.01901039504
454	0.01896532069
455	0.01889431575
456	0.01883967626
457	0.01878500107
458	0.01874815585
459	0.01869066468
460	0.01862904192
461	0.01859223197
462	0.01858109556
463	0.01852955798
464	0.01849118423
465	0.01844528491
466	0.01839231487
467	0.01833148607
468	0.01827875671
469	0.01827059293
470	0.0182314782
471	0.01817844291
472	0.01814741262
473	0.01810411591
474	0.01806244222
475	0.01798242953
476	0.01794625023
477	0.0178911405
478	0.01782759685
479	0.01777839007
480	0.01774360443
481	0.01770508116
482	0.01766203604
483	0.01763412166
484	0.01761848692
485	0.0175869179
486	0.01750745045
487	0.01744299751
488	0.01738222848
489	0.01731241116
490	0.01726869648
491	0.01723754584
492	0.01720104799
493	0.01714314349
494	0.01708208907
495	0.01705381426
496	0.01702386763
497	0.01697431518
498	0.01691106726
499	0.01688851984
500	0.01683761127
501	0.01680783552
502	0.01676561833
503	0.01674084642
504	0.01667507064
505	0.01661637666
506	0.01656736186
507	0.01651891837
508	0.01648293937
509	0.01644801426
510	0.01640021917
511	0.01636143844
512	0.01631733804
513	0.01629606167
514	0.01627660641
515	0.01623025074
516	0.0162164987
517	0.01616763042
518	0.01614327505
519	0.01612019965
